Municipio,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Change_2023_2024,Pct_Change_2023_2024,Cum_Change_2020_2024,Cum_Pct_Change_2020_2024
Rincón,15243.0,15294.0,15339.0,15389.0,15406.0,15400.0,15355.0,15242.0,14928.0,15125.0,15205.0,15332.0,15306.0,15420.0,15625.0,205.0,1.3294422827496757,420.0,2.762249260111805
Río Grande,54276.0,53785.0,53525.0,53104.0,52283.0,51375.0,50329.0,49084.0,47212.0,47352.0,47007.0,46576.0,45820.0,45554.0,45297.0,-257.0,-0.5641656056548272,-1710.0,-3.6377560788818686
Sabana Grande,25374.0,25204.0,24995.0,24873.0,24617.0,24264.0,23946.0,23498.0,22731.0,22841.0,22700.0,22624.0,22337.0,22189.0,22183.0,-6.0,-0.02704042543602686,-517.0,-2.2775330396475773
Salinas,31012.0,30612.0,30140.0,29787.0,29230.0,28664.0,28059.0,27375.0,26106.0,25986.0,25721.0,25472.0,24990.0,24706.0,24504.0,-202.0,-0.8176151542135514,-1217.0,-4.731542319505463
San Germán,35675.0,35441.0,35164.0,34807.0,34416.0,33997.0,33580.0,32917.0,31890.0,32031.0,31826.0,31582.0,31169.0,30970.0,30980.0,10.0,0.03228931223764934,-846.0,-2.658203984163891
San Juan,394929.0,390338.0,385753.0,381493.0,375922.0,370125.0,363803.0,356296.0,343692.0,344399.0,341672.0,339296.0,334591.0,332789.0,332454.0,-335.0,-0.10066438494060802,-9218.0,-2.69790910580908
San Lorenzo,41071.0,40884.0,40700.0,40558.0,40155.0,39772.0,39341.0,38697.0,37515.0,37776.0,37671.0,37632.0,37245.0,37242.0,37363.0,121.0,0.3249019923742012,-308.0,-0.8176050542857902
San Sebastián,42453.0,42293.0,42132.0,41980.0,41616.0,41237.0,40825.0,40267.0,39150.0,39425.0,39311.0,39276.0,38953.0,38899.0,38999.0,100.0,0.2570760173783388,-312.0,-0.7936709826766044
Santa Isabel,23269.0,23093.0,22899.0,22726.0,22393.0,22062.0,21681.0,21161.0,20331.0,20403.0,20273.0,20112.0,19802.0,19675.0,19651.0,-24.0,-0.12198221092757305,-622.0,-3.068120159818478
Toa Alta,74149.0,73873.0,73471.0,73095.0,72355.0,71556.0,70574.0,69211.0,66635.0,67120.0,66845.0,66715.0,66020.0,65918.0,66100.0,182.0,0.2761006098485998,-745.0,-1.114518662577605
Toa Baja,89515.0,88325.0,87165.0,86130.0,84657.0,83021.0,81395.0,79330.0,76129.0,75989.0,75096.0,74195.0,72732.0,71838.0,71332.0,-506.0,-0.7043625936134079,-3764.0,-5.012250985405347
Trujillo Alto,74893.0,74484.0,74063.0,73607.0,72810.0,72020.0,71063.0,69817.0,67513.0,67934.0,67690.0,67516.0,66762.0,66655.0,66816.0,161.0,0.24154226989723201,-874.0,-1.2911803811493574
Utuado,33085.0,32722.0,32302.0,31938.0,31437.0,30871.0,30255.0,29601.0,28483.0,28490.0,28226.0,27973.0,27514.0,27236.0,27155.0,-81.0,-0.29740049933911,-1071.0,-3.794373981435556
Vega Alta,39934.0,39746.0,39509.0,39333.0,38853.0,38389.0,37688.0,36691.0,35369.0,35591.0,35366.0,35201.0,34764.0,34617.0,34658.0,41.0,0.11843891729497068,-708.0,-2.00192275066448
Vega Baja,59670.0,59280.0,58942.0,58632.0,58004.0,57359.0,56723.0,55857.0,54159.0,54548.0,54356.0,54229.0,53662.0,53506.0,53709.0,203.0,0.37939670317347585,-647.0,-1.1903009787327987
Vieques,9302.0,9224.0,9193.0,9133.0,9027.0,8900.0,8756.0,8577.0,8264.0,8298.0,8236.0,8166.0,8036.0,7988.0,7966.0,-22.0,-0.2754131196795193,-270.0,-3.278290432248664
Villalba,26027.0,25664.0,25348.0,25052.0,24662.0,24159.0,23686.0,23139.0,22217.0,22276.0,22040.0,21818.0,21456.0,21268.0,21197.0,-71.0,-0.333834869287192,-843.0,-3.82486388384755
Yabucoa,37842.0,37169.0,36487.0,35859.0,35055.0,34246.0,33375.0,32375.0,30952.0,30807.0,30326.0,29936.0,29282.0,28876.0,28580.0,-296.0,-1.0250727247541211,-1746.0,-5.757435863615379
Yauco,41866.0,41186.0,40511.0,39872.0,39028.0,38193.0,37375.0,36307.0,34799.0,34604.0,34045.0,33596.0,32881.0,32387.0,32057.0,-330.0,-1.0189273473924723,-1988.0,-5.839330298134822
"Annual and Cumulative Estimates of Resident Population Change for Municipios in Puerto Rico and Municipio Rankings: April 1, 2020 to July 1, 2024 (PRM-EST2024-CHG)",,,,,,,,,,,,,,,,,,,
