year,municipio,income,cpi,real_income
2016,Comerío Municipio,13164.0,240.00541666666666,16712.64634652343
2017,Comerío Municipio,13523.0,245.121,16810.124166568075
2018,Comerío Municipio,12812.0,251.0995,15547.102974451695
2019,Comerío Municipio,13733.0,255.65258333333335,16367.925042155188
2020,Comerío Municipio,14297.0,258.85575,16829.27835612434
2021,Comerío Municipio,14666.0,270.96791666666667,16491.95728891643
2022,Comerío Municipio,16153.0,292.6254166666667,16819.750178342332
2023,Comerío Municipio,17254.0,304.70416666666665,17254.0
2010,Corozal Municipio,14077.0,218.0761666666667,19668.91026988277
2011,Corozal Municipio,14641.0,224.923,19834.22639821924
2012,Corozal Municipio,15828.0,229.58608333333333,21006.75040916025
2013,Corozal Municipio,16219.0,232.95174999999998,21214.680203804724
2014,Corozal Municipio,17020.0,236.715,21908.476085869785
2015,Corozal Municipio,15098.0,237.00175000000002,19410.926325790137
2016,Corozal Municipio,14733.0,240.00541666666666,18704.604878709335
2017,Corozal Municipio,14752.0,245.121,18337.86524478387
2018,Corozal Municipio,15088.0,251.0995,18308.9829596103
2019,Corozal Municipio,15140.0,255.65258333333335,18044.883502383276
2020,Corozal Municipio,16933.0,258.85575,19932.165517538888
2021,Corozal Municipio,19285.0,270.96791666666667,21686.0354777549
2022,Corozal Municipio,21670.0,292.6254166666667,22564.47634276471
2023,Corozal Municipio,23933.0,304.70416666666665,23933.0
2010,Culebra Municipio,19868.0,218.0761666666667,27760.311802374854
2011,Culebra Municipio,17531.0,224.923,23749.32197166734
2012,Culebra Municipio,16375.0,229.58608333333333,21732.72289297442
2013,Culebra Municipio,16188.0,232.95174999999998,21174.131767629995
2014,Culebra Municipio,18167.0,236.715,23384.916865569707
2015,Culebra Municipio,18649.0,237.00175000000002,23976.312428776015
2016,Culebra Municipio,20956.0,240.00541666666666,26605.15168928479
2017,Culebra Municipio,23355.0,245.121,29032.052792294417
2018,Culebra Municipio,23802.0,251.0995,28883.245785037405
2019,Culebra Municipio,23333.0,255.65258333333335,27809.859099148547
2020,Culebra Municipio,25658.0,258.85575,30202.53368269136
